epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,210.552,1.99529,4.26411,2.20019,0.01191,0.9061,0.2004,0.10524,1.70512,4.70648,2.06305,0.00016,0.00016,0.00016
2,405.84,1.6087,3.50085,1.81221,0.01329,0.88396,0.19814,0.09633,1.80241,4.6465,2.09608,0.000313665,0.000313665,0.000313665
3,601.365,1.52666,3.10405,1.76596,0.93783,0.09097,0.34802,0.19987,1.69402,4.05309,2.08067,0.0004505,0.0004505,0.0004505
4,828.755,1.42183,2.78923,1.65163,0.77423,0.31264,0.41022,0.23341,1.65527,3.66211,2.12954,0.000570505,0.000570505,0.000570505
5,1075.11,1.52969,2.72057,1.69084,0.77164,0.47034,0.44504,0.28303,1.51592,3.50968,1.969,0.00067368,0.00067368,0.00067368
6,1277.74,1.48434,2.59924,1.64126,0.48762,0.44941,0.45934,0.25479,1.46035,3.43934,1.91602,0.0007525,0.0007525,0.0007525
7,1473.17,1.50384,2.41351,1.63618,0.74779,0.55957,0.57054,0.36543,1.47552,3.86279,1.8774,0.000703,0.000703,0.000703
8,1672.85,1.47489,2.40883,1.59178,0.36227,0.54586,0.56312,0.35767,1.42365,3.70481,1.79567,0.0006535,0.0006535,0.0006535
9,1863.16,1.3907,2.21741,1.55269,0.92794,0.59861,0.67534,0.40854,1.48165,2.73331,1.83296,0.000604,0.000604,0.000604
10,2052.24,1.44741,2.17189,1.579,0.7585,0.67552,0.72817,0.44516,1.4475,2.57915,1.78944,0.0005545,0.0005545,0.0005545
11,2248.69,1.45078,2.42629,1.75029,0.689,0.67882,0.70617,0.4082,1.62821,2.88618,1.93906,0.000505,0.000505,0.000505
12,2435.95,1.37884,2.30174,1.69296,0.73613,0.65637,0.75355,0.47138,1.43715,2.49452,1.71911,0.0004555,0.0004555,0.0004555
13,2626.54,1.35098,2.23384,1.62239,0.83945,0.54549,0.71342,0.45701,1.30672,2.55245,1.64114,0.000406,0.000406,0.000406
14,2823.64,1.30025,2.02414,1.62387,0.60324,0.71679,0.77014,0.50634,1.3449,2.12963,1.65494,0.0003565,0.0003565,0.0003565
15,3015.12,1.30117,1.97806,1.59783,0.80285,0.82486,0.87334,0.56952,1.25117,1.89726,1.58194,0.000307,0.000307,0.000307
16,3212.1,1.26599,1.9172,1.57504,0.77586,0.82737,0.85487,0.55274,1.28918,1.88046,1.61754,0.0002575,0.0002575,0.0002575
17,3408.08,1.2392,1.80304,1.54133,0.866,0.83852,0.88304,0.59188,1.1678,1.79358,1.49741,0.000208,0.000208,0.000208
18,3615.57,1.18899,1.6947,1.53032,0.85896,0.84558,0.88739,0.60964,1.16578,1.73402,1.49223,0.0001585,0.0001585,0.0001585
19,3807.77,1.19095,1.66452,1.47789,0.89926,0.82781,0.89291,0.60864,1.17696,1.72393,1.51261,0.000109,0.000109,0.000109
20,4005.48,1.1524,1.61533,1.4665,0.89431,0.84771,0.90933,0.62829,1.13091,1.70889,1.48732,5.95e-05,5.95e-05,5.95e-05
